objectid,filename,title,subject,date,location,format,description,type,latitude ,longitude,Creator,Brand,Identifier,rights,source
achieve-beanie-front,achieve-beanie-front.JPG,Achievement Hunter Beanie,Achievement Hunter,2015-12,"Indianapolis, Indiana",image/jpg,hat,beanie,39.851923,-86.110353,Quality Internet Goods,Rooster Teeth,black; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-green-front,achieve-green-front.jpg,Achievement Hunter Dad,Achievement Hunter,2016-07,"Austin, Texas",image/jpeg,,beanie,30.2711286,-97.7436995,Quality Internet Goods,Rooster Teeth,black; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-rainbow-front,achieve-rainbow-front.jpg,Achievement Hunter Pride,Achievement Hunter,,"Austin, Texas",image/jpeg,,baseball cap,30.2711286,-97.7436995,Quality Internet Goods,Rooster Teeth,black; red; orange; yellow; pale turquoise; blue; violet,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
blue-wall-front,blue-wall-front.jpg,Blue Wall VR,Blue Wall VR,2018-11,"Indianapolis, Indiana",image/jpeg,,baseball cap,39.851923,-86.110353,,Blue Wall VR,white; black; light sky blue,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
buick-front,buick-front.jpg,Buick Open,Golf,,"Grand Blanc, Michigan",image/jpeg,,baseball cap,42.92478,-83.62259,Imperial,Buick Open,beige; black,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
catan-front,catan-front.jpg,Settlers of Catan,Catan,2022-08,"Indianapolis, Indiana",image/jpeg,,baseball cap,39.851923,-86.110353,Catan,Settlers of Catan,saddlebrown; goldenrod,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cowboy-front,cowboy-front.jpg,Cowboy Hat from Wyoming,Cowboy,2022-07,"Cheyenne, Wyoming",image/jpeg,,cowboy hat,41.13998,-104.820244,Woolrich,,black; brown,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cycling-usa-front,cycling-usa-front.jpg,Cycling USA Sports Cap,Cycling,2019-02,"Indianapolis, Indiana",image/jpeg,,sports cap,39.851923,-86.110353,PaceCaps,Cycling USA,white; red; medium blue,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
ferrari-front,ferrari-front.jpg,Ferrari F1 Racing,Formula 1,2022-10,"Bloomington, Indiana",image/jpeg,,baseball cap,39.156929,-86.523655,Puma,Ferrari,red; black; yellow; white; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
fez,fez.jpg,Doctor Who Fez,Fez,2014-08,"Indianapolis, Indiana",image/jpeg,,fez,39.851923,-86.110353,Elope Inc,,firebrick,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
